status,status_desc,road_name,时间,路况描述
1,自南向北畅通,中和街,2023-03-19 12:40:04,中和街：自南向北畅通。
1,畅通,中山路,2023-03-19 12:40:04,中山路：畅通。
1,双向畅通,中山路辅路,2023-03-19 12:40:04,中山路辅路：双向畅通。
1,双向畅通,人和胡同,2023-03-19 12:40:04,人和胡同：双向畅通。
1,畅通,人和街,2023-03-19 12:40:04,人和街：畅通。
1,自北向南畅通,光芒街,2023-03-19 12:40:04,光芒街：自北向南畅通。
1,自西向东畅通,分部街,2023-03-19 12:40:04,分部街：自西向东畅通。
1,双向畅通,士课街,2023-03-19 12:40:05,士课街：双向畅通。
1,双向畅通,崇德街,2023-03-19 12:40:05,崇德街：双向畅通。
1,自东向西畅通,巴山街,2023-03-19 12:40:05,巴山街：自东向西畅通。
1,双向畅通,巴陵街,2023-03-19 12:40:05,巴陵街：双向畅通。
1,双向畅通,建新街,2023-03-19 12:40:05,"建新街：双向畅通；东向西,从中和街到人和街行驶缓慢。"
2,自东向西畅通；自西向东拥堵,建设街,2023-03-19 12:40:05,"建设街：自东向西畅通；自西向东拥堵；西向东,从花园街到河沟街严重拥堵。"
1,自北向南畅通,新永和街,2023-03-19 12:40:06,新永和街：自北向南畅通。
1,双向畅通,果戈里大街,2023-03-19 12:40:06,"果戈里大街：双向畅通；东向西,从银行街到一曼街拥堵。"
1,自北向南畅通,比乐街,2023-03-19 12:40:06,比乐街：自北向南畅通。
1,双向畅通,永和街,2023-03-19 12:40:06,永和街：双向畅通。
1,双向畅通,河沟街,2023-03-19 12:40:06,河沟街：双向畅通。
1,自南向北畅通,河渠街,2023-03-19 12:40:06,河渠街：自南向北畅通。
1,自北向南畅通,洁净街,2023-03-19 12:40:07,洁净街：自北向南畅通。
1,自东向西畅通,芦家街,2023-03-19 12:40:07,芦家街：自东向西畅通。
1,双向畅通,花园街,2023-03-19 12:40:07,"花园街：双向畅通；北向南,从建设街到红军街辅路行驶缓慢。"
1,自西向东畅通,阿什河街,2023-03-19 12:40:07,阿什河街：自西向东畅通。
1,双向畅通,雨阳街,2023-03-19 12:40:07,雨阳街：双向畅通。
1,双向畅通,革新街,2023-03-19 12:40:07,革新街：双向畅通。
1,双向畅通,马家街,2023-03-19 12:40:07,马家街：双向畅通。
1,自南向北畅通,黑山街,2023-03-19 12:40:08,黑山街：自南向北畅通。
1,自西向东畅通,龙江街,2023-03-19 12:40:08,龙江街：自西向东畅通。
1,自南向北畅通,中和街,2023-03-19 13:00:18,中和街：自南向北畅通。
1,畅通,中山路,2023-03-19 13:00:18,"中山路：畅通；北向南,从三合路辅路到香吉街拥堵；北向南,中山路附近行驶缓慢。"
1,双向畅通,中山路辅路,2023-03-19 13:00:18,中山路辅路：双向畅通。
1,双向畅通,人和胡同,2023-03-19 13:00:18,人和胡同：双向畅通。
1,畅通,人和街,2023-03-19 13:00:18,人和街：畅通。
1,自北向南畅通,光芒街,2023-03-19 13:00:18,光芒街：自北向南畅通。
1,自西向东畅通,分部街,2023-03-19 13:00:18,分部街：自西向东畅通。
1,双向畅通,士课街,2023-03-19 13:00:19,士课街：双向畅通。
1,双向畅通,崇德街,2023-03-19 13:00:19,崇德街：双向畅通。
1,自东向西畅通,巴山街,2023-03-19 13:00:19,巴山街：自东向西畅通。
1,双向畅通,巴陵街,2023-03-19 13:00:19,巴陵街：双向畅通。
1,双向畅通,建新街,2023-03-19 13:00:19,"建新街：双向畅通；东向西,从中和街到人和街行驶缓慢。"
1,双向畅通,建设街,2023-03-19 13:00:19,建设街：双向畅通。
1,自北向南畅通,新永和街,2023-03-19 13:00:19,新永和街：自北向南畅通。
1,双向畅通,果戈里大街,2023-03-19 13:00:20,"果戈里大街：双向畅通；东向西,从银行街到一曼街拥堵。"
1,自北向南畅通,比乐街,2023-03-19 13:00:20,比乐街：自北向南畅通。
1,双向畅通,永和街,2023-03-19 13:00:20,永和街：双向畅通。
1,双向畅通,河沟街,2023-03-19 13:00:20,河沟街：双向畅通。
1,自南向北畅通,河渠街,2023-03-19 13:00:20,河渠街：自南向北畅通。
1,自北向南畅通,洁净街,2023-03-19 13:00:20,洁净街：自北向南畅通。
1,自东向西畅通,芦家街,2023-03-19 13:00:20,芦家街：自东向西畅通。
1,双向畅通,花园街,2023-03-19 13:00:21,"花园街：双向畅通；北向南,从建设街到红军街辅路行驶缓慢。"
1,自西向东畅通,阿什河街,2023-03-19 13:00:21,阿什河街：自西向东畅通。
1,双向畅通,雨阳街,2023-03-19 13:00:21,雨阳街：双向畅通。
1,双向畅通,革新街,2023-03-19 13:00:21,革新街：双向畅通。
1,双向畅通,马家街,2023-03-19 13:00:21,马家街：双向畅通。
1,自南向北畅通,黑山街,2023-03-19 13:00:21,黑山街：自南向北畅通。
1,自西向东畅通,龙江街,2023-03-19 13:00:21,"龙江街：自西向东畅通；西向东,花园街附近拥堵。"
1,自南向北畅通,中和街,2023-03-19 13:20:32,中和街：自南向北畅通。
1,畅通,中山路,2023-03-19 13:20:32,中山路：畅通。
1,双向畅通,中山路辅路,2023-03-19 13:20:32,中山路辅路：双向畅通。
1,双向畅通,人和胡同,2023-03-19 13:20:32,人和胡同：双向畅通。
1,畅通,人和街,2023-03-19 13:20:33,人和街：畅通。
1,自北向南畅通,光芒街,2023-03-19 13:20:33,光芒街：自北向南畅通。
1,自西向东畅通,分部街,2023-03-19 13:20:33,分部街：自西向东畅通。
1,双向畅通,士课街,2023-03-19 13:20:33,士课街：双向畅通。
1,双向畅通,崇德街,2023-03-19 13:20:33,崇德街：双向畅通。
1,自东向西畅通,巴山街,2023-03-19 13:20:33,巴山街：自东向西畅通。
1,双向畅通,巴陵街,2023-03-19 13:20:34,巴陵街：双向畅通。
1,双向畅通,建新街,2023-03-19 13:20:34,建新街：双向畅通。
1,双向畅通,建设街,2023-03-19 13:20:34,建设街：双向畅通。
1,自北向南畅通,新永和街,2023-03-19 13:20:34,新永和街：自北向南畅通。
2,自东向西轻微拥堵；自西向东畅通,果戈里大街,2023-03-19 13:20:35,"果戈里大街：自东向西轻微拥堵；自西向东畅通；东向西,从邮政街到一曼街拥堵。"
1,自北向南畅通,比乐街,2023-03-19 13:20:35,比乐街：自北向南畅通。
1,双向畅通,永和街,2023-03-19 13:20:35,永和街：双向畅通。
1,双向畅通,河沟街,2023-03-19 13:20:35,河沟街：双向畅通。
1,自南向北畅通,河渠街,2023-03-19 13:20:35,河渠街：自南向北畅通。
1,自北向南畅通,洁净街,2023-03-19 13:20:35,洁净街：自北向南畅通。
1,自东向西畅通,芦家街,2023-03-19 13:20:35,芦家街：自东向西畅通。
1,双向畅通,花园街,2023-03-19 13:20:36,花园街：双向畅通。
1,自西向东畅通,阿什河街,2023-03-19 13:20:36,阿什河街：自西向东畅通。
1,双向畅通,雨阳街,2023-03-19 13:20:36,雨阳街：双向畅通。
1,双向畅通,革新街,2023-03-19 13:20:36,革新街：双向畅通。
1,双向畅通,马家街,2023-03-19 13:20:36,马家街：双向畅通。
1,自南向北畅通,黑山街,2023-03-19 13:20:37,黑山街：自南向北畅通。
1,自西向东畅通,龙江街,2023-03-19 13:20:37,龙江街：自西向东畅通。
1,自南向北畅通,中和街,2023-03-19 13:40:46,中和街：自南向北畅通。
1,畅通,中山路,2023-03-19 13:40:47,中山路：畅通。
1,双向畅通,中山路辅路,2023-03-19 13:40:47,中山路辅路：双向畅通。
1,双向畅通,人和胡同,2023-03-19 13:40:47,人和胡同：双向畅通。
1,畅通,人和街,2023-03-19 13:40:47,人和街：畅通。
1,自北向南畅通,光芒街,2023-03-19 13:40:47,光芒街：自北向南畅通。
1,自西向东畅通,分部街,2023-03-19 13:40:47,分部街：自西向东畅通。
1,双向畅通,士课街,2023-03-19 13:40:47,士课街：双向畅通。
1,双向畅通,崇德街,2023-03-19 13:40:48,崇德街：双向畅通。
1,自东向西畅通,巴山街,2023-03-19 13:40:48,巴山街：自东向西畅通。
1,双向畅通,巴陵街,2023-03-19 13:40:48,巴陵街：双向畅通。
1,双向畅通,建新街,2023-03-19 13:40:48,建新街：双向畅通。
1,双向畅通,建设街,2023-03-19 13:40:48,建设街：双向畅通。
1,自北向南畅通,新永和街,2023-03-19 13:40:48,新永和街：自北向南畅通。
1,双向畅通,果戈里大街,2023-03-19 13:40:49,"果戈里大街：双向畅通；西向东,从建设街步行街到东大直街拥堵。"
1,自北向南畅通,比乐街,2023-03-19 13:40:49,比乐街：自北向南畅通。
1,双向畅通,永和街,2023-03-19 13:40:49,永和街：双向畅通。
1,双向畅通,河沟街,2023-03-19 13:40:49,河沟街：双向畅通。
1,自南向北畅通,河渠街,2023-03-19 13:40:49,河渠街：自南向北畅通。
1,自北向南畅通,洁净街,2023-03-19 13:40:49,洁净街：自北向南畅通。
1,自东向西畅通,芦家街,2023-03-19 13:40:50,芦家街：自东向西畅通。
1,双向畅通,花园街,2023-03-19 13:40:50,花园街：双向畅通。
1,自西向东畅通,阿什河街,2023-03-19 13:40:50,阿什河街：自西向东畅通。
1,双向畅通,雨阳街,2023-03-19 13:40:50,雨阳街：双向畅通。
1,双向畅通,革新街,2023-03-19 13:40:50,革新街：双向畅通。
1,双向畅通,马家街,2023-03-19 13:40:50,马家街：双向畅通。
2,自南向北畅通,黑山街,2023-03-19 13:40:50,"黑山街：自南向北畅通；南向北,从巴山街到革新街拥堵。"
2,自西向东畅通,龙江街,2023-03-19 13:40:51,"龙江街：自西向东畅通；西向东,花园街附近拥堵。"
1,自南向北畅通,中和街,2023-03-19 14:01:00,中和街：自南向北畅通。
1,畅通,中山路,2023-03-19 14:01:00,中山路：畅通。
1,双向畅通,中山路辅路,2023-03-19 14:01:00,中山路辅路：双向畅通。
1,双向畅通,人和胡同,2023-03-19 14:01:00,人和胡同：双向畅通。
1,畅通,人和街,2023-03-19 14:01:00,人和街：畅通。
1,自北向南畅通,光芒街,2023-03-19 14:01:00,光芒街：自北向南畅通。
1,自西向东畅通,分部街,2023-03-19 14:01:01,分部街：自西向东畅通。
1,双向畅通,士课街,2023-03-19 14:01:01,士课街：双向畅通。
1,双向畅通,崇德街,2023-03-19 14:01:01,崇德街：双向畅通。
1,自东向西畅通,巴山街,2023-03-19 14:01:01,巴山街：自东向西畅通。
1,双向畅通,巴陵街,2023-03-19 14:01:01,巴陵街：双向畅通。
1,双向畅通,建新街,2023-03-19 14:01:01,建新街：双向畅通。
1,双向畅通,建设街,2023-03-19 14:01:01,建设街：双向畅通。
1,自北向南畅通,新永和街,2023-03-19 14:01:01,新永和街：自北向南畅通。
1,双向畅通,果戈里大街,2023-03-19 14:01:02,果戈里大街：双向畅通。
1,自北向南畅通,比乐街,2023-03-19 14:01:02,比乐街：自北向南畅通。
1,双向畅通,永和街,2023-03-19 14:01:02,永和街：双向畅通。
1,双向畅通,河沟街,2023-03-19 14:01:02,河沟街：双向畅通。
1,自南向北畅通,河渠街,2023-03-19 14:01:02,河渠街：自南向北畅通。
1,自北向南畅通,洁净街,2023-03-19 14:01:02,洁净街：自北向南畅通。
1,自东向西畅通,芦家街,2023-03-19 14:01:02,芦家街：自东向西畅通。
1,双向畅通,花园街,2023-03-19 14:01:03,花园街：双向畅通。
1,自西向东畅通,阿什河街,2023-03-19 14:01:03,阿什河街：自西向东畅通。
