congestion_distance,speed,status,congestion_trend,section_desc,name,time
140,5.93,4,加重,"东向西,从兆麟街到尚志大街",东七道街,2023-03-19 12:39:54
210,2.17,4,加重,"北向南,从石头道街到曼哈顿商厦",兆麟街,2023-03-19 12:39:55
210,14.35,3,加重,"南向北,从透笼街到石头道街",兆麟街,2023-03-19 12:39:55
250,5.36,4,加重,"北向南,从哈尔滨市钱币博物馆到西十二道街",尚志大街,2023-03-19 12:39:56
280,13.6,3,持平,"南向北,从透笼街到李兆麟将军纪念馆",尚志大街,2023-03-19 12:39:56
180,12.21,3,持平,"东向西,从地段街到兆麟街",石头道街,2023-03-19 12:39:57
210,1.29,4,加重,"东向西,从尚志大街到中央大街",西九道街,2023-03-19 12:39:58
280,13.6,2,加重,"东向西,从尚志大街到中央大街",西十二道街,2023-03-19 12:39:59
160,10.6,3,加重,"东向西,从兆麟街到尚志大街",东八道街,2023-03-19 13:00:09
910,8.88,3,加重,"北向南,从森林街到田地街",兆麟街,2023-03-19 13:00:09
210,15.04,3,加重,"南向北,从透笼街到石头道街",兆麟街,2023-03-19 13:00:09
250,5.36,4,加重,"北向南,从哈尔滨市钱币博物馆到西十二道街",尚志大街,2023-03-19 13:00:10
830,8.65,3,加重,"南向北,从田地街到东六道街",尚志大街,2023-03-19 13:00:10
410,19.61,2,持平,"东向西,从地段街到尚志大街",田地街,2023-03-19 13:00:11
180,10.43,3,加重,"西向东,从西八道街到尚志大街",西七道街,2023-03-19 13:00:11
210,9.6,4,持平,"西向东,从中央大街到尚志大街",西九道街,2023-03-19 13:00:12
210,8.2,3,持平,"东向西,从尚志大街到中央大街",西九道街,2023-03-19 13:00:12
180,3.36,4,加重,"西向东,从尚志大街到兆麟街",透笼街,2023-03-19 13:00:13
140,12.27,3,加重,"东向西,从兆麟街到尚志大街",东七道街,2023-03-19 13:20:22
830,8.1,4,加重,"南向北,从工厂街到柳树街",兆麟街,2023-03-19 13:20:23
400,10.67,3,缓解,"北向南,从东六道街到石头道街",兆麟街,2023-03-19 13:20:23
230,15.73,2,加重,"北向南,从柳树街到石头道街",地段街,2023-03-19 13:20:23
480,1.64,4,加重,"北向南,从西五道街到西十二道街",尚志大街,2023-03-19 13:20:24
790,3.09,4,加重,"南向北,从海城桥到金安国际购物广场",尚志大街,2023-03-19 13:20:24
210,18.6,2,加重,"西向东,从尚志大街到兆麟街",田地街,2023-03-19 13:20:24
360,5.21,4,加重,"东向西,从地段街到尚志大街",石头道街,2023-03-19 13:20:25
180,3.58,4,加重,"西向东,从西八道街到尚志大街",西七道街,2023-03-19 13:20:26
260,6.21,4,加重,"西向东,从中央大街到尚志大街",西五道街,2023-03-19 13:20:26
160,3.36,4,持平,"东向西,从兆麟街到尚志大街",东八道街,2023-03-19 13:40:38
160,13.04,3,加重,"西向东,从尚志大街到兆麟街",东八道街,2023-03-19 13:40:38
420,6.34,4,缓解,"南向北,从田地街到石头道街",兆麟街,2023-03-19 13:40:38
1020,10.63,3,缓解,"北向南,从森林街到斜角街",兆麟街,2023-03-19 13:40:38
200,12.12,3,持平,"南向北,从透笼街到石头道街",地段街,2023-03-19 13:40:38
420,5.69,4,缓解,"南向北,从田地街到李兆麟将军纪念馆",尚志大街,2023-03-19 13:40:39
230,17.63,2,缓解,"北向南,从西五道街到西八道街",尚志大街,2023-03-19 13:40:39
560,2.06,4,持平,"东向西,从一面街到兆麟街",田地街,2023-03-19 13:40:40
210,5.36,4,持平,"西向东,从尚志大街到兆麟街",田地街,2023-03-19 13:40:40
550,4.53,4,持平,"东向西,从买卖街到尚志大街",石头道街,2023-03-19 13:40:40
260,13.6,2,缓解,"西向东,从中央大街到尚志大街",西五道街,2023-03-19 13:40:41
160,10.6,3,加重,"东向西,从兆麟街到尚志大街",东八道街,2023-03-19 14:00:51
200,5.36,4,持平,"南向北,从透笼街到石头道街",地段街,2023-03-19 14:00:52
250,5.36,4,加重,"北向南,从哈尔滨市钱币博物馆到西十二道街",尚志大街,2023-03-19 14:00:52
570,8.28,3,缓解,"南向北,从经纬街到金安国际购物广场",尚志大街,2023-03-19 14:00:52
210,5.36,4,持平,"西向东,从尚志大街到兆麟街",田地街,2023-03-19 14:00:53
580,7.14,4,缓解,"东向西,从买卖街到尚志大街",田地街,2023-03-19 14:00:53
370,5.07,4,加重,"东向西,从买卖街到兆麟街",石头道街,2023-03-19 14:00:54
160,9.35,3,加重,"西向东,西八道街附近",西七道街,2023-03-19 14:00:54
210,6.6,4,加重,"东向西,从尚志大街到中央大街",西九道街,2023-03-19 14:00:54
210,11.66,3,缓解,"西向东,从中央大街到尚志大街",西九道街,2023-03-19 14:00:54
190,14.4,3,持平,"东向西,从尚志大街到西七道街",西八道街,2023-03-19 14:00:55
210,5.36,4,加重,"南向北,从透笼街到石头道街",兆麟街,2023-03-19 14:21:05
630,9.93,3,持平,"北向南,从李兆麟将军纪念馆到田地街",兆麟街,2023-03-19 14:21:05
1070,14.46,3,加重,"南向北,从透笼街到耿子号",地段街,2023-03-19 14:21:05
420,1.5,4,加重,"南向北,从田地街到李兆麟将军纪念馆",尚志大街,2023-03-19 14:21:05
480,1.64,4,加重,"北向南,从西五道街到西十二道街",尚志大街,2023-03-19 14:21:05
410,18.6,2,缓解,"东向西,从地段街到尚志大街",田地街,2023-03-19 14:21:06
370,5.92,4,加重,"东向西,从买卖街到兆麟街",石头道街,2023-03-19 14:21:07
180,2.15,4,加重,"西向东,从西八道街到尚志大街",西七道街,2023-03-19 14:21:07
210,7.39,4,加重,"东向西,从尚志大街到中央大街",西九道街,2023-03-19 14:21:07
240,15,3,加重,"西向东,从上游街到尚志大街",西二道街,2023-03-19 14:21:08
180,3.36,4,加重,"西向东,从尚志大街到兆麟街",透笼街,2023-03-19 14:21:10
450,5.85,4,加重,"东向西,从一面街到兆麟街",透笼街,2023-03-19 14:21:10
160,10.84,3,缓解,"东向西,从兆麟街到尚志大街",东八道街,2023-03-19 14:41:20
400,1.66,4,加重,"北向南,从石头道街到田地街",兆麟街,2023-03-19 14:41:20
420,4.73,4,缓解,"南向北,从田地街到石头道街",兆麟街,2023-03-19 14:41:20
200,13.47,3,持平,"南向北,从透笼街到石头道街",地段街,2023-03-19 14:41:21
790,2.15,4,加重,"南向北,从海城桥到金安国际购物广场",尚志大街,2023-03-19 14:41:21
480,8.26,3,缓解,"北向南,从西五道街到西十二道街",尚志大街,2023-03-19 14:41:21
380,7.96,3,缓解,"东向西,从买卖街到兆麟街",田地街,2023-03-19 14:41:22
190,3.36,4,加重,"东向西,从地段街到兆麟街",石头道街,2023-03-19 14:41:23
180,9.29,3,加重,"西向东,从西八道街到尚志大街",西七道街,2023-03-19 14:41:24
210,6.9,4,持平,"东向西,从尚志大街到中央大街",西九道街,2023-03-19 14:41:24
210,14.03,3,加重,"西向东,从中央大街到尚志大街",西九道街,2023-03-19 14:41:24
190,13.9,3,缓解,"东向西,从尚志大街到西七道街",西八道街,2023-03-19 14:41:25
280,12.93,2,加重,"东向西,从尚志大街到中央大街",西十二道街,2023-03-19 14:41:26
180,10.06,3,加重,"西向东,从尚志大街到兆麟街",透笼街,2023-03-19 14:41:27
630,4.33,4,持平,"北向南,从李兆麟将军纪念馆到田地街",兆麟街,2023-03-19 15:03:02
210,6.87,4,缓解,"南向北,从田地街到曼哈顿商厦",兆麟街,2023-03-19 15:03:02
