congestion_distance,speed,status,congestion_trend,section_desc,name,time
290,5.36,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 12:40:22
120,5.36,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 12:40:22
210,13.67,2,缓解,"南向北,从建山里到文明天桥",和平南路,2023-03-19 12:40:22
100,10.6,2,加重,"西向东,文明天桥附近",文明中路,2023-03-19 12:40:23
290,5.36,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 13:00:34
120,5.36,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 13:00:34
210,14.46,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-19 13:00:34
210,16.28,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-19 13:20:44
100,10.6,2,持平,"西向东,文明天桥附近",文明中路,2023-03-19 13:20:45
230,12.57,3,加重,"北向南,文明横路附近",文明横路,2023-03-19 13:20:45
100,10.6,2,持平,"西向东,文明天桥附近",文明中路,2023-03-19 13:40:55
290,10.27,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 14:01:06
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 14:01:06
210,5.36,4,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-19 14:01:06
240,15.1,3,加重,"西向东,博爱南路附近",文明中路,2023-03-19 14:01:07
290,6.42,4,加重,"北向南,文明天桥附近",和平北路,2023-03-19 14:21:16
120,6.42,4,加重,"北向南,文明天桥附近",和平北路,2023-03-19 14:21:16
210,14.65,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-19 14:21:17
100,3.36,4,加重,"西向东,文明天桥附近",文明中路,2023-03-19 14:42:55
120,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-19 15:03:07
100,3.36,4,持平,"西向东,文明天桥附近",文明中路,2023-03-19 15:03:07
490,7.32,3,持平,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 15:23:18
100,10.6,2,缓解,"西向东,文明天桥附近",文明中路,2023-03-19 15:23:19
120,5.36,4,加重,"北向南,文明天桥附近",和平北路,2023-03-19 15:43:30
130,13.6,2,加重,"北向南,和平北路附近",和平北路,2023-03-19 15:43:30
490,7.31,3,持平,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 15:43:30
100,10.6,2,缓解,"西向东,文明天桥附近",文明中路,2023-03-19 15:43:31
290,14.73,3,持平,"南向北,文明中路附近",文明横路,2023-03-19 15:43:31
290,14.71,3,加重,"北向南,文明横路附近",文明横路,2023-03-19 15:43:31
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 16:03:41
120,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-19 16:03:41
270,5.36,4,加重,"南向北,从和平南横巷到建山里",和平南路,2023-03-19 16:03:41
240,12.88,3,持平,"西向东,博爱南路附近",文明中路,2023-03-19 16:03:42
490,7.39,3,加重,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 16:23:52
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 16:44:02
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 16:44:02
490,7.28,3,持平,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 16:44:03
230,13.6,3,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-19 16:44:03
170,13.9,3,加重,"西向东,博爱南路附近",文明中路,2023-03-19 16:44:04
120,14.52,3,加重,"北向南,文明横路附近",文明横路,2023-03-19 16:44:04
490,7.31,3,持平,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 17:04:14
230,5.36,4,持平,"东向西,从东风桥到文明天桥",文明东路,2023-03-19 17:04:14
240,13.45,3,加重,"西向东,博爱南路附近",文明中路,2023-03-19 17:04:14
290,17.2,2,加重,"北向南,文明天桥附近",和平北路,2023-03-19 17:24:24
120,17.2,2,加重,"北向南,文明天桥附近",和平北路,2023-03-19 17:24:24
240,13.3,3,缓解,"西向东,博爱南路附近",文明中路,2023-03-19 17:24:25
250,13.6,3,加重,"南向北,和平北路附近",和平北路,2023-03-19 17:44:35
120,14.86,3,持平,"北向南,文明天桥附近",和平北路,2023-03-19 17:44:35
290,14.86,3,持平,"北向南,文明天桥附近",和平北路,2023-03-19 17:44:35
100,10.6,2,缓解,"西向东,文明天桥附近",文明中路,2023-03-19 17:44:36
130,10.58,3,加重,"南向北,文明中路附近",文明横路,2023-03-19 17:44:36
120,12.5,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-19 18:04:47
290,12.5,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-19 18:04:47
210,13.6,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-19 18:04:47
100,10.6,2,持平,"西向东,文明天桥附近",文明中路,2023-03-19 18:04:48
290,6.03,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 18:24:58
120,6.03,4,持平,"北向南,文明天桥附近",和平北路,2023-03-19 18:24:58
360,16.97,2,持平,"北向南,从和平天桥到海府路",和平南路,2023-03-19 18:24:58
490,13.6,2,缓解,"南向北,从和平南横巷到文明天桥",和平南路,2023-03-19 18:24:58
100,10.6,2,加重,"西向东,文明天桥附近",文明中路,2023-03-19 18:24:59
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 21:16:01
210,15.03,2,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-19 21:36:11
230,8.76,4,加重,"东向西,从东风桥到文明天桥",文明东路,2023-03-19 21:36:12
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 21:56:24
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-19 21:56:24
210,6.63,3,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-19 21:56:24
170,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-19 22:16:35
120,13.6,3,缓解,"北向南,文明天桥附近",和平北路,2023-03-19 22:16:35
290,5.78,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:11:38
120,5.78,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:11:38
290,5.36,4,加重,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 11:11:39
220,14.14,3,加重,"南向北,锦山里北街附近",和平北路,2023-03-20 11:31:48
240,14.6,3,加重,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 11:31:49
410,13.25,3,缓解,"东向西,从东风桥到文明天桥",文明东路,2023-03-20 11:31:49
290,6.16,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:51:58
120,6.16,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 11:51:58
270,16.04,3,加重,"南向北,从文明天桥到锦山里北街",和平北路,2023-03-20 11:51:58
290,7.03,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:12:08
120,7.03,4,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:12:08
210,6.45,3,加重,"南向北,从建山里到文明天桥",和平南路,2023-03-20 12:32:18
170,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:52:28
120,13.6,3,加重,"北向南,文明天桥附近",和平北路,2023-03-20 12:52:28
210,14.54,2,持平,"南向北,从建山里到文明天桥",和平南路,2023-03-20 12:52:29
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:33:17
170,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:33:17
170,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:53:27
120,13.6,3,持平,"北向南,文明天桥附近",和平北路,2023-03-20 14:53:27
