status,status_desc,road_name,时间,路况描述
1,双向畅通,中华北路,2023-03-17 15:49:07,中华北路：双向畅通。
1,畅通,八鸽岩路,2023-03-17 15:49:08,八鸽岩路：畅通。
2,自东向西畅通；自西向东轻微拥堵,北京路,2023-03-17 15:49:08,"北京路：自东向西畅通；自西向东轻微拥堵；西向东,北京路附近拥堵；西向东,从沙河桥到神奇大桥行驶缓慢。"
1,自西向东畅通,北京路辅路,2023-03-17 15:49:08,北京路辅路：自西向东畅通。
1,双向畅通,吉祥路,2023-03-17 15:49:08,吉祥路：双向畅通。
1,自西向东畅通,太乙巷,2023-03-17 15:49:08,太乙巷：自西向东畅通。
2,自北向南拥堵；自南向北畅通,宅吉路,2023-03-17 15:49:09,宅吉路：自北向南拥堵；自南向北畅通。
1,双向畅通,市北巷,2023-03-17 15:49:09,市北巷：双向畅通。
1,自北向南拥堵；自南向北畅通,市北路,2023-03-17 15:49:09,市北路：自北向南拥堵；自南向北畅通。
1,自南向北畅通,庆丰路,2023-03-17 15:49:09,庆丰路：自南向北畅通。
1,双向畅通,永安寺街,2023-03-17 15:49:09,永安寺街：双向畅通。
1,双向畅通,测绘巷,2023-03-17 15:49:10,测绘巷：双向畅通。
3,拥堵,盐务街,2023-03-17 15:49:10,"盐务街：拥堵；南向北,从沙河桥到金仓路严重拥堵。"
1,双向畅通,花海街,2023-03-17 15:49:10,花海街：双向畅通。
1,双向畅通,金仓路,2023-03-17 15:49:11,金仓路：双向畅通。
1,双向畅通,中华北路,2023-03-17 16:09:21,中华北路：双向畅通。
1,畅通,八鸽岩路,2023-03-17 16:09:22,八鸽岩路：畅通。
1,自东向西畅通；自西向东轻微拥堵,北京路,2023-03-17 16:09:22,"北京路：自东向西畅通；自西向东轻微拥堵；西向东,从贵州省文物博物馆学会到沙河桥拥堵；西向东,从沙河桥到神奇大桥行驶缓慢。"
1,自西向东畅通,北京路辅路,2023-03-17 16:09:22,北京路辅路：自西向东畅通。
1,双向畅通,吉祥路,2023-03-17 16:09:22,吉祥路：双向畅通。
1,自西向东畅通,太乙巷,2023-03-17 16:09:22,太乙巷：自西向东畅通。
1,双向畅通,宅吉路,2023-03-17 16:09:23,宅吉路：双向畅通。
1,双向畅通,市北巷,2023-03-17 16:09:23,市北巷：双向畅通。
1,自北向南拥堵；自南向北畅通,市北路,2023-03-17 16:09:23,市北路：自北向南拥堵；自南向北畅通。
1,自南向北畅通,庆丰路,2023-03-17 16:09:23,庆丰路：自南向北畅通。
1,双向畅通,永安寺街,2023-03-17 16:09:23,永安寺街：双向畅通。
1,双向畅通,测绘巷,2023-03-17 16:09:24,测绘巷：双向畅通。
2,轻微拥堵,盐务街,2023-03-17 16:09:24,"盐务街：轻微拥堵；南向北,从沙河桥到金仓路拥堵。"
1,双向畅通,花海街,2023-03-17 16:09:24,花海街：双向畅通。
1,双向畅通,金仓路,2023-03-17 16:09:25,金仓路：双向畅通。
1,双向畅通,中华北路,2023-03-17 16:29:35,中华北路：双向畅通。
1,畅通,八鸽岩路,2023-03-17 16:29:35,八鸽岩路：畅通。
2,自东向西畅通；自西向东拥堵,北京路,2023-03-17 16:29:35,"北京路：自东向西畅通；自西向东拥堵；西向东,从贵州省文物博物馆学会到沙河桥严重拥堵。"
1,自西向东畅通,北京路辅路,2023-03-17 16:29:36,北京路辅路：自西向东畅通。
1,双向畅通,吉祥路,2023-03-17 16:29:36,吉祥路：双向畅通。
2,自西向东轻微拥堵,太乙巷,2023-03-17 16:29:36,太乙巷：自西向东轻微拥堵。
2,自北向南拥堵；自南向北畅通,宅吉路,2023-03-17 16:29:36,"宅吉路：自北向南拥堵；自南向北畅通；东向南,从麻冲路到盐务街拥堵。"
1,双向畅通,市北巷,2023-03-17 16:29:36,市北巷：双向畅通。
2,自北向南畅通；自南向北轻微拥堵,市北路,2023-03-17 16:29:37,市北路：自北向南畅通；自南向北轻微拥堵。
1,自南向北畅通,庆丰路,2023-03-17 16:29:37,庆丰路：自南向北畅通。
1,双向畅通,永安寺街,2023-03-17 16:29:37,永安寺街：双向畅通。
1,双向畅通,测绘巷,2023-03-17 16:29:37,测绘巷：双向畅通。
2,轻微拥堵,盐务街,2023-03-17 16:29:37,盐务街：轻微拥堵。
1,双向畅通,花海街,2023-03-17 16:29:37,花海街：双向畅通。
1,双向畅通,金仓路,2023-03-17 16:29:38,金仓路：双向畅通。
1,自北向南缓行；自南向北畅通,中华北路,2023-03-17 16:49:47,中华北路：自北向南缓行；自南向北畅通。
1,畅通,八鸽岩路,2023-03-17 16:49:47,八鸽岩路：畅通。
2,自东向西畅通；自西向东轻微拥堵,北京路,2023-03-17 16:49:48,"北京路：自东向西畅通；自西向东轻微拥堵；西向东,从贵州省文物博物馆学会到沙河桥拥堵；西向东,从沙河桥到神奇大桥行驶缓慢。"
2,自西向东轻微拥堵,北京路辅路,2023-03-17 16:49:48,北京路辅路：自西向东轻微拥堵。
1,双向畅通,吉祥路,2023-03-17 16:49:48,吉祥路：双向畅通。
1,自西向东畅通,太乙巷,2023-03-17 16:49:48,太乙巷：自西向东畅通。
1,自北向南轻微拥堵；自南向北畅通,宅吉路,2023-03-17 16:49:48,宅吉路：自北向南轻微拥堵；自南向北畅通。
